年度季別,醫事機構代碼,醫事機構名稱,特約類別,血清白蛋白檢查人數,腹膜透析人數,血清白蛋白受檢率,檢測方法,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
95年第一季,0101090517,臺北市立聯合醫院,區域醫院,97.00,112.00,0.8660,BCP,11,否,否,臺北市,大同區
95年第二季,0101090517,臺北市立聯合醫院,區域醫院,101.00,109.00,0.9266,BCP,11,否,否,臺北市,大同區
95年第三季,0101090517,臺北市立聯合醫院,區域醫院,109.00,114.00,0.9561,BCP,11,否,否,臺北市,大同區
95年第四季,0101090517,臺北市立聯合醫院,區域醫院,113.00,116.00,0.9741,BCP,11,否,否,臺北市,大同區
96年第一季,0101090517,臺北市立聯合醫院,區域醫院,126.00,132.00,0.9545,BCP,12,是,否,臺北市,大同區
96年第一季,0101090517,臺北市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCG,12,是,否,臺北市,大同區
96年第二季,0101090517,臺北市立聯合醫院,區域醫院,5.00,5.00,1.0000,BCG,12,是,否,臺北市,大同區
96年第二季,0101090517,臺北市立聯合醫院,區域醫院,133.00,136.00,0.9779,BCP,12,是,否,臺北市,大同區
96年第三季,0101090517,臺北市立聯合醫院,區域醫院,144.00,146.00,0.9863,BCP,12,是,否,臺北市,大同區
96年第四季,0101090517,臺北市立聯合醫院,區域醫院,152.00,157.00,0.9681,BCP,12,是,否,臺北市,大同區
97年第一季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCG,11,是,否,臺北市,大同區
97年第一季,0101090517,臺北市立聯合醫院,區域醫院,141.00,158.00,0.8924,BCP,11,是,否,臺北市,大同區
97年第二季,0101090517,臺北市立聯合醫院,區域醫院,5.00,5.00,1.0000,BCG,12,是,否,臺北市,大同區
97年第二季,0101090517,臺北市立聯合醫院,區域醫院,138.00,151.00,0.9139,BCP,12,是,否,臺北市,大同區
97年第三季,0101090517,臺北市立聯合醫院,區域醫院,133.00,146.00,0.9109,BCP,14,是,否,臺北市,大同區
97年第三季,0101090517,臺北市立聯合醫院,區域醫院,6.00,6.00,1.0000,BCG,14,是,否,臺北市,大同區
97年第四季,0101090517,臺北市立聯合醫院,區域醫院,130.00,143.00,0.9090,BCP,15,是,否,臺北市,大同區
97年第四季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCG,15,是,否,臺北市,大同區
98年第一季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCG,14,是,否,臺北市,大同區
98年第一季,0101090517,臺北市立聯合醫院,區域醫院,133.00,145.00,0.9172,BCP,14,是,否,臺北市,大同區
98年第二季,0101090517,臺北市立聯合醫院,區域醫院,137.00,149.00,0.9194,BCP,14,是,否,臺北市,大同區
98年第二季,0101090517,臺北市立聯合醫院,區域醫院,8.00,8.00,1.0000,BCG,14,是,否,臺北市,大同區
98年第三季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,13,是,否,臺北市,大同區
98年第三季,0101090517,臺北市立聯合醫院,區域醫院,34.00,39.00,0.8717,BCP,13,是,否,臺北市,大同區
98年第三季,0101090517,臺北市立聯合醫院,區域醫院,82.00,91.00,0.9010,BCP,13,是,否,臺北市,大同區
98年第三季,0101090517,臺北市立聯合醫院,區域醫院,8.00,8.00,1.0000,BCG,13,是,否,臺北市,大同區
98年第三季,0101090517,臺北市立聯合醫院,區域醫院,15.00,15.00,1.0000,BCP,13,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,37.00,39.00,0.9487,BCP,12,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCP,12,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,83.00,91.00,0.9120,BCP,12,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCG,12,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,19.00,20.00,0.9500,BCP,12,是,否,臺北市,大同區
99年第一季,0101090517,臺北市立聯合醫院,區域醫院,78.00,78.00,1.0000,BCP,12,是,否,臺北市,大同區
99年第一季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCG,12,是,否,臺北市,大同區
99年第一季,0101090517,臺北市立聯合醫院,區域醫院,37.00,39.00,0.9487,BCP,12,是,否,臺北市,大同區
99年第一季,0101090517,臺北市立聯合醫院,區域醫院,17.00,18.00,0.9444,BCP,12,是,否,臺北市,大同區
99年第一季,0101090517,臺北市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCP,12,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,81.00,81.00,1.0000,BCP,11,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCP,11,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,37.00,40.00,0.9250,BCP,11,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCG,11,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,19.00,19.00,1.0000,BCP,11,是,否,臺北市,大同區
99年第三季,0101090517,臺北市立聯合醫院,區域醫院,7.00,7.00,1.0000,BCG,12,是,否,臺北市,大同區
99年第三季,0101090517,臺北市立聯合醫院,區域醫院,20.00,20.00,1.0000,BCP,12,是,否,臺北市,大同區
99年第三季,0101090517,臺北市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCP,12,是,否,臺北市,大同區
99年第三季,0101090517,臺北市立聯合醫院,區域醫院,38.00,40.00,0.9500,BCP,12,是,否,臺北市,大同區
99年第三季,0101090517,臺北市立聯合醫院,區域醫院,82.00,83.00,0.9879,BCP,12,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,9.00,9.00,1.0000,BCP,12,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,80.00,82.00,0.9756,BCG,12,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,19.00,19.00,1.0000,BCG,12,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCG,12,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,38.00,42.00,0.9047,BCG,12,是,否,臺北市,大同區
100年第一季,0101090517,臺北市立聯合醫院,區域醫院,34.00,36.00,0.9444,BCG,13,是,,臺北市,大同區
100年第一季,0101090517,臺北市立聯合醫院,區域醫院,21.00,22.00,0.9545,BCG,13,是,,臺北市,大同區
100年第一季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCG,13,是,,臺北市,大同區
100年第一季,0101090517,臺北市立聯合醫院,區域醫院,88.00,88.00,1.0000,BCG,13,是,,臺北市,大同區
100年第一季,0101090517,臺北市立聯合醫院,區域醫院,9.00,9.00,1.0000,BCP,13,是,,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,31.00,35.00,0.8857,BCG,12,是,,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,22.00,23.00,0.9565,BCG,12,是,,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCG,12,是,,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,86.00,87.00,0.9885,BCG,12,是,,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,9.00,9.00,1.0000,BCP,12,是,,臺北市,大同區
100年第三季,0101090517,臺北市立聯合醫院,區域醫院,19.00,21.00,0.9047,BCG,12,是,否,臺北市,大同區
100年第三季,0101090517,臺北市立聯合醫院,區域醫院,9.00,9.00,1.0000,BCP,12,是,否,臺北市,大同區
100年第三季,0101090517,臺北市立聯合醫院,區域醫院,84.00,86.00,0.9767,BCG,12,是,否,臺北市,大同區
100年第三季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCG,12,是,否,臺北市,大同區
100年第三季,0101090517,臺北市立聯合醫院,區域醫院,32.00,34.00,0.9411,BCG,12,是,否,臺北市,大同區
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,9.00,9.00,1.0000,BCP,11,是,否,臺北市,大同區
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,21.00,23.00,0.9130,BCG,11,是,否,臺北市,大同區
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,30.00,33.00,0.9090,BCG,11,是,否,臺北市,大同區
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,80.00,82.00,0.9756,BCG,11,是,否,臺北市,大同區
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,3.00,3.00,1.0000,BCG,11,是,否,臺北市,大同區
101年第一季,0101090517,臺北市立聯合醫院,區域醫院,22.00,24.00,0.9166,BCG,11,是,是,臺北市,大同區
101年第一季,0101090517,臺北市立聯合醫院,區域醫院,28.00,29.00,0.9655,BCG,11,是,是,臺北市,大同區
101年第一季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCG,11,是,是,臺北市,大同區
101年第一季,0101090517,臺北市立聯合醫院,區域醫院,8.00,8.00,1.0000,BCP,11,是,是,臺北市,大同區
101年第一季,0101090517,臺北市立聯合醫院,區域醫院,86.00,88.00,0.9772,BCG,11,是,是,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,22.00,24.00,0.9166,BCG,12,是,是,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,28.00,29.00,0.9655,BCG,12,是,是,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,4.00,4.00,1.0000,BCG,12,是,是,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,82.00,82.00,1.0000,BCG,12,是,是,臺北市,大同區
101年第二季,0101090517,臺北市立聯合醫院,區域醫院,8.00,8.00,1.0000,BCG,12,是,是,臺北市,大同區
101年第三季,0101090517,臺北市立聯合醫院,區域醫院,29.00,29.00,1.0000,BCG,14,是,是,臺北市,大同區
