年度,醫事機構代碼,醫事機構名稱,特約類別,瘻管重建人次數,血液透析透析人月數,瘻管重建率_每1000人月,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
95年第二季,0101090517,臺北市立聯合醫院,區域醫院,9.00,3190.50,0.0028,11,否,否,臺北市,大同區
95年第四季,0101090517,臺北市立聯合醫院,區域醫院,6.00,3182.60,0.0018,11,否,否,臺北市,大同區
96年第二季,0101090517,臺北市立聯合醫院,區域醫院,4.00,3226.20,0.0012,12,是,否,臺北市,大同區
96年第四季,0101090517,臺北市立聯合醫院,區域醫院,15.00,3239.80,0.0046,12,是,否,臺北市,大同區
97年第二季,0101090517,臺北市立聯合醫院,區域醫院,17.00,3271.40,0.0051,12,是,否,臺北市,大同區
97年第四季,0101090517,臺北市立聯合醫院,區域醫院,7.00,3246.20,0.0021,15,是,否,臺北市,大同區
98年第二季,0101090517,臺北市立聯合醫院,區域醫院,17.00,3191.40,0.0053,14,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,3.00,527.50,0.0056,12,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,3.00,700.40,0.0042,12,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,1.00,742.50,0.0013,12,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,0.00,823.20,0.0000,12,是,否,臺北市,大同區
98年第四季,0101090517,臺北市立聯合醫院,區域醫院,0.00,451.50,0.0000,12,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,0.00,761.20,0.0000,11,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,5.00,737.30,0.0067,11,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,2.00,744.30,0.0026,11,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,1.00,504.60,0.0019,11,是,否,臺北市,大同區
99年第二季,0101090517,臺北市立聯合醫院,區域醫院,2.00,429.10,0.0046,11,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,0.00,838.90,0.0000,12,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,1.00,763.30,0.0013,12,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,7.00,754.10,0.0092,12,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,4.00,485.30,0.0082,12,是,否,臺北市,大同區
99年第四季,0101090517,臺北市立聯合醫院,區域醫院,1.00,440.00,0.0022,12,是,否,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,3.00,768.90,0.0039,12,是,,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,0.00,852.70,0.0000,12,是,,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,7.00,701.60,0.0099,12,是,,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,0.00,487.40,0.0000,12,是,,臺北市,大同區
100年第二季,0101090517,臺北市立聯合醫院,區域醫院,0.00,449.70,0.0000,12,是,,臺北市,大同區
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,0.00,878.30,0.0000,11,是,否,臺北市,大同區
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,2.00,468.10,0.0042,11,是,否,臺北市,大同區
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,0.00,524.70,0.0000,11,是,否,臺北市,大同區
100年第四季,0101090517,臺北市立聯合醫院,區域醫院,5.00,729.80,0.0068,11,是,否,臺北市,大同區
